_links,additional_images,aisle,alcohol_retailer_id,availability,availability_message,availability_status,average_uom,average_weight,base_price,base_quantity,brand_name,categories,display_uom,ext_data,ext_id,fulfillment_inventory_area_id,fulfillment_retailer_id,fulfillment_retailer_store_id,fulfillment_store_number,fulfillment_types,href,ic_item_id,ic_product_id,id,images,is_alcoholic,loyalty_end_date,loyalty_price,loyalty_quantity,message_code,modified,name,offers,order_by_weight,ordering_parameters,price_alert,product_config,product_rating,product_type,promo_tag,promo_tag_percentage,reco_rating,sale_end_date,sale_price,sale_quantity,search_result,size_string,snrid,source,source_id,sponsored,status,tags,uom_price,usa_snap_eligible,user_rating
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.4,1.0,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000032830,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/6999,172761400,16614400,6999,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76a8d037-65c8-43ab-bc49-e92e67363652.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76a8d037-65c8-43ab-bc49-e92e67363652.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_76a8d037-65c8-43ab-bc49-e92e67363652.png'}}",False,,,,,"Wed, 03 Jan 2024 09:37:03 GMT",Honeycrisp Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 3.6, 'user_count': 5}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 2.49, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.42,1.68,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000932830,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/8794,172761973,16614421,8794,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c5d95e44-5f6e-4b7b-b50f-cd67603ca065.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c5d95e44-5f6e-4b7b-b50f-cd67603ca065.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c5d95e44-5f6e-4b7b-b50f-cd67603ca065.png'}}",False,,,,,"Tue, 19 Dec 2023 21:52:50 GMT",Organic Honeycrisp Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.0, 'user_count': 1}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 3.99, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,,,5.99,1,daisy girl organic,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00847473000164,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/77514,15313996489,17978710,77514,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66b65e6f-13a1-480e-b9ff-49c01f282505.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66b65e6f-13a1-480e-b9ff-49c01f282505.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66b65e6f-13a1-480e-b9ff-49c01f282505.png'}}",False,,,,,"Wed, 17 Jan 2024 10:58:11 GMT",Organic Honeycrisp Apples Bag,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 3.6667, 'user_count': 9}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",907 g,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 0.01, 'uom': 'g'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.41,0.69,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000041350,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/44272,172762127,3251365,44272,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fda52644-51b7-40cd-8322-c698b7ea30c1.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fda52644-51b7-40cd-8322-c698b7ea30c1.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fda52644-51b7-40cd-8322-c698b7ea30c1.png'}}",False,,,,,"Sat, 20 Jan 2024 14:44:00 GMT",Gala Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.5, 'user_count': 2}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 1.69, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.4,0.68,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000041300,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/43550,172761552,3282896,43550,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_96677d46-fd1b-479d-85a7-3851a6b5a080.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_96677d46-fd1b-479d-85a7-3851a6b5a080.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_96677d46-fd1b-479d-85a7-3851a6b5a080.png'}}",False,,,,,"Sat, 20 Jan 2024 14:44:00 GMT",Pink Lady Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.411764705882353, 'user_count': 17}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 1.69, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.42,0.84,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000040170,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/7055,172760674,16614384,7055,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_18924ba7-f34b-402f-99ff-7e7d5f87ba89.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_18924ba7-f34b-402f-99ff-7e7d5f87ba89.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_18924ba7-f34b-402f-99ff-7e7d5f87ba89.png'}}",False,,,,,"Tue, 12 Dec 2023 12:26:46 GMT",Granny Smith Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 0, 'user_count': 0}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 1.99, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,,,3.99,1,viva tierra,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00741839004318,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/52442,514451994,18382931,52442,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c98c044-42eb-4a98-b153-a4d3c4b6f57f.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c98c044-42eb-4a98-b153-a4d3c4b6f57f.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c98c044-42eb-4a98-b153-a4d3c4b6f57f.png'}}",False,,,,,"Sat, 13 Jan 2024 10:47:08 GMT",Organic Gala Apples Bag,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.6667, 'user_count': 3}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",2 lb,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 2.0, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.43,1.07,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000941310,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/44293,172761181,16345603,44293,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_813fbca6-2810-4349-8c77-8f09f981bcd7.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_813fbca6-2810-4349-8c77-8f09f981bcd7.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_813fbca6-2810-4349-8c77-8f09f981bcd7.png'}}",False,,,,,"Tue, 12 Dec 2023 12:26:46 GMT",Organic Fuji Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.375, 'user_count': 16}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 2.49, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.44,0.74,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000041310,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/44271,172760567,3286985,44271,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4a24a30f-fe28-45c1-97cf-f96d10312188.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4a24a30f-fe28-45c1-97cf-f96d10312188.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4a24a30f-fe28-45c1-97cf-f96d10312188.png'}}",False,,,,,"Sat, 20 Jan 2024 14:44:00 GMT",Fuji Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.6667, 'user_count': 15}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 1.69, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,,,4.99,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000942100,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/43794,636080183,16553269,43794,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_189da1be-0098-4824-b78a-27f6c9189547.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_189da1be-0098-4824-b78a-27f6c9189547.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_189da1be-0098-4824-b78a-27f6c9189547.png'}}",False,,,,,"Wed, 17 Jan 2024 10:58:11 GMT",Organic Pink Lady Apples Bag,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 2.6666666666666665, 'user_count': 3}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",3 lb bag,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 1.66, 'uom': 'lb bag'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.41,0.28,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '4', 'name': 'Tropical Fruit'}]",ea,{},00000000940110,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/25364340,380937568567,2634845,25364340,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_839d7037-01ed-402b-b995-3ee037c94485.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_839d7037-01ed-402b-b995-3ee037c94485.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_839d7037-01ed-402b-b995-3ee037c94485.png'}}",False,,,,,"Sat, 16 Dec 2023 04:04:13 GMT",Organic Banana,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.5743, 'user_count': 202}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",1 lb,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 0.69, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,,,4.99,1,covilli,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00831344000445,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/76014,38024913288,18853374,76014,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a5819acb-cca3-456a-89e3-95968a18f6af.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a5819acb-cca3-456a-89e3-95968a18f6af.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a5819acb-cca3-456a-89e3-95968a18f6af.png'}}",False,,,,,"Sun, 28 Jan 2024 10:15:11 GMT",Covilli Organic Sundowner Apples Bag,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 0, 'user_count': 0}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",3 lb,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 1.66, 'uom': 'lb'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,,,4.99,1,,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '7', 'name': 'Citrus'}]",ea,{},00791928508128,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/25305104,395396866519,3281882,25305104,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_84b87cd9-b884-4f75-a1a9-81f7061dd071.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_84b87cd9-b884-4f75-a1a9-81f7061dd071.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_84b87cd9-b884-4f75-a1a9-81f7061dd071.png'}}",False,,,,,"Wed, 31 Jan 2024 12:24:19 GMT","Organic Raspberry Oranges Punnet, 4 Count",,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.3333, 'user_count': 6}",product,Save $1.01,Save 20%,3.0,2024-02-03T00:59:59-07:00,3.98,1.0,"{'result_set': 0, 'score': None}",6 oz container,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['organic'],"{'price': 0.66, 'uom': 'oz container'}",True,
,[],,,"{'source': 'DEF/ETL', 'stock_level': 0}",,True,lb,0.7,1.39,1,cosmic crisp,"[{'id': '1', 'name': 'Produce'}, {'id': '2', 'name': 'Fruits'}, {'id': '3', 'name': 'Apples'}]",ea,{},00000000035070,8370,279,2,17650,"['delivery', 'instore', 'pickup']",/store_products/57242,2563531667,21042871,57242,"{'tile': {'large': 'https://d2d8wwwkmhfcva.cloudfront.net/1200x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ef6fa9e8-0242-4775-8233-fdec66b87f5f.png', 'medium': 'https://d2d8wwwkmhfcva.cloudfront.net/800x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ef6fa9e8-0242-4775-8233-fdec66b87f5f.png', 'small': 'https://d2d8wwwkmhfcva.cloudfront.net/400x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ef6fa9e8-0242-4775-8233-fdec66b87f5f.png'}}",False,,,,,"Wed, 31 Jan 2024 12:24:19 GMT",Cosmic Crisp Apple,,False,"{'increment': 1, 'max': 100, 'min': 1}",,,"{'average_rating': 4.8, 'user_count': 15}",product,,,3.0,,,,"{'result_set': 0, 'score': None}",,b46d280d-8770-430f-8cbd-d8844df0e7e3,,,False,True,['none'],"{'price': 1.99, 'uom': 'lb'}",True,
